COLLECTION,modality,TF-applicability,TF-note,TF-COUNT,TF-pivot-count:,TF-pivot-members:
"Meertens Collection: GBA-derived","","","",1,0,""
"Meertens Collection: GBA-derived - sub COROP area","","","",40,0,""
"Meertens Collection: GBA-derived - sub dialectarea","","","",24,0,""
"Meertens Collection: GBA-derived - sub municipality","","","",443,0,""
"Meertens Collection: GBA-derived - sub province","","","",12,0,""
"Meertens Collection: Heiloo toponiemen","","","",400,0,""
"Meertens Collection: Soundbites","","","",1,0,""
"Meertens Collections","","","",591,0,""
"Meertens Collections - NDA","","","",95,0,""
"Meertens Collections: ToolService","","","",1,0,""
"Meertens collection: CRM","","","",96,0,""
"Meertens collection: Etstoel","","","",999,0,""
"Meertens collection: Liederenbank","","","",243129,0,""
"Meertens collections: PILNAR","","","",744,0,""
"Mind Research Repository","","","",107,0,""
"Multimodal Learning and teaching Corpora Exchange","","","",49,0,""
"NEHOL","","","",43,0,""
"Nijmegen corpora of casual speech : Nijmegen Corpus of Casual Czech","","","",20,0,""
"Nijmegen corpora of casual speech : Nijmegen Corpus of Casual French","","","",14,0,""
"Nijmegen corpora of casual speech : Nijmegen Corpus of Casual Spanish","","","",22,0,""
"Nijmegen corpora of casual speech : The Ernestus Corpus of Spontaneous Dutch","","","",299,0,""
"ORTOLANG Repository","","","",1561,0,""
"ORTOLANG Repository: Workspace 016f776e-ee65-40dd-99bb-4780f088143f","","","",1,0,""
"ORTOLANG Repository: Workspace 01e45606-9bdd-4372-9162-47d18d8be8dc","","","",1,0,""
"ORTOLANG Repository: Workspace 03009cbe-b266-4fa6-bfcf-d39368adb388","","","",1,0,""
"ORTOLANG Repository: Workspace 054c5207-d30a-4924-8506-37ed2a23dd30","","","",1,0,""
"ORTOLANG Repository: Workspace 09558f46-aec5-4588-938a-da2029dccbc4","","","",1,0,""
"ORTOLANG Repository: Workspace 09f220fb-d7dc-4899-9c47-cdeb5dc10e1b","","","",1,0,""
"ORTOLANG Repository: Workspace 0a11ae65-66bc-46ab-b163-cc53843e1b21","","","",1,0,""
"ORTOLANG Repository: Workspace 0f383928-003e-4d11-8f29-f11d99079cc1","","","",1,0,""
"ORTOLANG Repository: Workspace 0fa8efbe-c528-4b42-a067-f6b9f6285c5c","","","",1,0,""
"ORTOLANG Repository: Workspace 1777f8a3-ae74-45ab-81b8-e4ffed7ec910","","","",1,0,""
"ORTOLANG Repository: Workspace 180623db-18b4-47bf-8f4b-f4eeed49ea2c","","","",1,0,""
"ORTOLANG Repository: Workspace 193b8a95-8334-4c44-961d-83cb5d3e9415","","","",1,0,""
"ORTOLANG Repository: Workspace 1f81ba2b-5082-44db-a2cd-6e30eb62a459","","","",1,0,""
"ORTOLANG Repository: Workspace 215da6cf-33ee-4050-8cd3-34111471af29","","","",1,0,""
"ORTOLANG Repository: Workspace 242ece0f-67ea-4622-ae7e-ce928948595a","","","",1,0,""
"ORTOLANG Repository: Workspace 256397a2-7213-4d3c-aeb6-183c466463a8","","","",1,0,""
"ORTOLANG Repository: Workspace 25ff3b45-2064-4ec8-8812-bf70b784d17f","","","",1,0,""
"ORTOLANG Repository: Workspace 266a48dc-faf2-487d-9b3f-21ca3aef6c4d","","","",1,0,""
"ORTOLANG Repository: Workspace 284a2fbf-048a-4291-b0e5-fd756abb52fb","","","",1,0,""
"ORTOLANG Repository: Workspace 2a206d9b-5fcf-426c-8544-923c6e3e2409","","","",1,0,""
"ORTOLANG Repository: Workspace 2c03e657-1993-4cda-a9f2-adca0c730deb","","","",1,0,""
"ORTOLANG Repository: Workspace 2d829ab4-0c65-4c4b-83f5-271216f86699","","","",1,0,""
"ORTOLANG Repository: Workspace 2dc060b6-9b94-4936-8b5f-622d47a8b647","","","",1,0,""
"ORTOLANG Repository: Workspace 3384f4ae-38ed-48bb-817e-07ab8931f7a2","","","",1,0,""
"ORTOLANG Repository: Workspace 356381d0-1a12-4f14-8d4b-493d137ac9a7","","","",1,0,""
"ORTOLANG Repository: Workspace 37b1c6b2-1faa-49c9-ab56-7fe4cdcd92e5","","","",1,0,""
"ORTOLANG Repository: Workspace 39f00e65-80ce-43fc-8fbe-c07bc88542fc","","","",1,0,""
"ORTOLANG Repository: Workspace 3ad4e267-c811-4c9c-8cd0-15cd465b09d3","","","",1,0,""
"ORTOLANG Repository: Workspace 3c572506-162d-4e15-9b3d-6cb6075786cb","","","",1,0,""
"ORTOLANG Repository: Workspace 3d640e9f-c1b1-49fb-95e5-a382cdc1123a","","","",1,0,""
"ORTOLANG Repository: Workspace 4164ec0a-0922-4841-b55c-7a1c7f1530d9","","","",1,0,""
"ORTOLANG Repository: Workspace 422ead17-3927-4981-a27b-72d9fd219609","","","",1,0,""
"ORTOLANG Repository: Workspace 46dc0e93-8f05-453b-af48-05c5b88e98b9","","","",1,0,""
"ORTOLANG Repository: Workspace 48c50d3d-8627-474c-85c2-6bae7877278d","","","",1,0,""
"ORTOLANG Repository: Workspace 4ac07736-bdca-41f0-a2aa-5f5046c5763e","","","",1,0,""
"ORTOLANG Repository: Workspace 4aecaa95-9c05-4da0-9f07-a0651d943a9d","","","",1,0,""
"ORTOLANG Repository: Workspace 4de64079-d920-41eb-8e5d-80ca850185bd","","","",1,0,""
"ORTOLANG Repository: Workspace 53cebf8c-85de-4198-ba70-d5b26df192e8","","","",1,0,""
"ORTOLANG Repository: Workspace 595f28e2-53bd-4a00-93a1-8ed711d242bf","","","",1,0,""
"ORTOLANG Repository: Workspace 59be3454-89ed-4198-b1db-94a7805891c6","","","",1,0,""
"ORTOLANG Repository: Workspace 5a3838a6-aac3-417a-945a-3bf8849d00a3","","","",1,0,""
"ORTOLANG Repository: Workspace 61bb2043-7296-4ab6-8d84-ad7fb2a27394","","","",1,0,""
"ORTOLANG Repository: Workspace 63324333-a3c0-4616-a8cc-20253b556c6a","","","",1,0,""
"ORTOLANG Repository: Workspace 6789d1be-035f-4984-8307-73c73c3f2ca4","","","",1,0,""
"ORTOLANG Repository: Workspace 6884cd93-3232-49f2-8bd0-fb18432d67dd","","","",1,0,""
"ORTOLANG Repository: Workspace 6d5457e1-d035-4230-808f-7b68aa238ee9","","","",1,0,""
"ORTOLANG Repository: Workspace 6ed881f3-4279-4b0c-af2e-6aa83e57fdfa","","","",1,0,""
"ORTOLANG Repository: Workspace 6ff8dbb3-c9bd-418f-8d25-2da19ed3f68b","","","",1,0,""
"ORTOLANG Repository: Workspace 747e9c58-c3b4-4ed1-b29c-00a48388c634","","","",1,0,""
"ORTOLANG Repository: Workspace 776d322b-0617-4eb0-828f-5c06475727a3","","","",1,0,""
"ORTOLANG Repository: Workspace 77b2e0b7-2865-4fe6-9f36-ab9d8f9fa363","","","",1,0,""
"ORTOLANG Repository: Workspace 77cf5a8a-cbc4-476b-b052-505771830a3f","","","",1,0,""
