ORGANISATION,ORGANISATION,TF-applicability,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
"Monash University","","","",413,3,"AGD |1| # Archiv für Gesprochenes Deutsch |1| # DoBeS archive : Saliba/Logea |411|"
"Monash University Melbourne","","","",8,1,"AGD |8|"
"Mondadori, Barcelona","","","",1,1,"CLARINO Bergen Centre |1|"
"Musikhochschule","","","",1,1,"AGD |1|"
"Mykolas Romeris University","","","",1,1,"CLARIN-LT |1|"
"N, A","","","",77,6,"CLARIN-DK-UCPH Repository |4| # CollBank |3| # DoBeS archive : Chintang and Puma Documentation Project |1|"
"N/A","","","",84,3,"COST elicitationdata |7| # DoBeS archive : Chintang and Puma Documentation Project |76| # MPI corpora : Language and Cognition : southasia : Chintang : Dirksmeyer |1|"
"NHH Norwegian School of Economics","","","",8,1,"CLARINO Bergen Centre |8|"
"NISV","","","",1,1,"CollBank |1|"
"NLP Centre, Masaryk university","","","",12,2,"LINDAT / CLARIN Data & Tools |11| # LRT + Open Submissions Data & Tools |1|"
"NORDEN","","","",7,1,"CLARIN-DK-UCPH Repository |7|"
"Nachhilfeverein","","","",1,1,"AGD |1|"
"Nano DTU","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Nasjonalbiblioteket","","","",41,2,"CLARINO NB – Språkbanken |39| # Clarino Bergen Centre - INESS |2|"
"Nasjonalt senter for skriveopplæring og skriveforsking","","","",1,1,"Clarino - Textlab |1|"
"National Library of Finland","","","",3,0,""
"National Library of Norway","","","",41,2,"CLARINO NB – Språkbanken |39| # Clarino Bergen Centre - INESS |2|"
"National Research University Higher School of Economics","","","",1,0,""
"National University of Engineering, Peru","","","",1,1,"LINDAT / CLARIN Data & Tools |1|"
"National library of Norway","","","",37,1,"CLARINO NB – Språkbanken |37|"
"Nationalmuseet. Danmarks Nyere Tid","","","",6631,1,"CLARIN-DK-UCPH Repository |6631|"
"Natural Language Processing Centre, Faculty of Informatics","","","",3,1,"LINDAT / CLARIN Data & Tools |3|"
"Natural Language Processing Centre, Faculty of Informatics, Masaryk University","","","",2,1,"LINDAT / CLARIN Data & Tools |2|"
"Nederlandse Taalunie","","","",2,1,"CollBank |2|"
"Nicht dokumentiert","","","",8,1,"AGD |8|"
"Nicht vorhanden","","","",74,1,"AGD |74|"
"Nijmeegse Centrale voor Dialect- en Naamkunde (NCDN)","","","",1,1,"CollBank |1|"
"No","","","",10,1,"DoBeS archive : Chintang and Puma Documentation Project |10|"
"Nordeuropa-Institut, Humboldt-Universität zu Berlin","","","",5,1,"DoBeS archive : Kola Saami Documentation Project |5|"
"Nordic Entertainment (ipr holder of the videos)","","","",1,1,"Clarino - Textlab |1|"
"Nordisk språkteknologi holding AS","","","",14,1,"CLARINO NB – Språkbanken |14|"
"Norges Handelshøyskole","","","",8,1,"CLARINO Bergen Centre |8|"
"Norges arktiske universitet","","","",13,1,"CLARINO Bergen Centre |13|"
"Norges teknisk-naturvitenskapelige universitet","","","",2,2,"CLARINO NB – Språkbanken |1| # Clarino - Textlab |1|"
"Northern Lands Council","","","",1,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |1|"
"Northern Territory Park and Wildlife","","","",4,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |4|"
"Norwegian Biodiversity Information Centre","","","",1,1,"CLARINO Bergen Centre |1|"
"Norwegian University of Science and Technology","","","",2,2,"CLARINO NB – Språkbanken |1| # Clarino - Textlab |1|"
"NovoNordisk","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Nuance Communications International, Merelbeke","","","",2,1,"INT |2|"
"OPIAC","","","",13,1,"DoBeS archive : Cashinahua project |13|"
"ORDELORETO","","","",7,1,"DoBeS archive : Gente del Centro - People of the Center |7|"
"Office of the Parliamentary Ombudsman","","","",1,0,""
"Official Journal of the European Union","","","",6,1,"Clarino Bergen Centre - INESS |6|"
"Offizielle Schlichtungskommission zum Projekt Stuttgart 21","","","",5,1,"AGD |5|"
"Ohio State University, Columbus","","","",1,1,"Tübingen Language Resources |1|"
"Oktober","","","",1,1,"CLARINO Bergen Centre |1|"
"Omrop Fryslan","","","",2,1,"CollBank |2|"
"Omsker Staatliches Pädagogisches Gorki-Institut/ Universität Tomsk","","","",1,1,"Archiv für Gesprochenes Deutsch |1|"
"Open Richly Annotated Cuneiform Corpus Project","","","",1,0,""
"OpenOffice.org","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Otto-Friedrich-Universität Bamberg","","","",1,0,""
"Otto-von-Guericke-Universität Magdeburg","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"PARSEME","","","",2,1,"LRT + Open Submissions Data & Tools |2|"
"PIKITSA","","","",92,1,"DoBeS archive : Tsafiki project |92|"
"PIKITSA y FLACSO","","","",20,1,"DoBeS archive : Tsafiki project |20|"
"PT-Controlnet Oy","","","",4,0,""
"ParaCrawl","","","",1,1,"LRT + Open Submissions Data & Tools |1|"
"Personalberatung","","","",2,1,"AGD |2|"
"Petrozavodsk State University","","","",1,0,""
"Phonogrammarchiv der Universität Zürich","","","",1,1,"Phonogrammarchiv der Universität Zürich |1|"
"Phonogrammarchiv, Vienna","","","",67,1,"DoBeS archive : Tangsa, Tai, Singpho in North East India |67|"
"Pigeon Hole School","","","",8,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |8|"
"Po Box 47, Yaoundé-Cameroon","","","",9,1,"DoBeS archive : Bakola |9|"
"Polizei","","","",8,1,"AGD |8|"
"Potsdam University","","","",1,1,"IMS, CLARIN-D Centre, University of Stuttgart |1|"
"Project Gutenberg","","","",1,0,""
"Project of the month, BBAW","","","",1,1,"Digitales Wörterbuch der deutschen Sprache (DWDS) |1|"
"Prophet River First Nation","","","",1,1,"DoBeS archive : Beaver Archive |1|"
"Prosjektet Talemålsundersøkelsen i Oslo (1971-1976)","","","",1,1,"Clarino - Textlab |1|"
"Purdue University, USA - Linguistics Dept.","","","",95,2,"MPI corpora : Language and Cognition : Sign Language : Ozyurek |63| # Sign Language : VIDI Sign space project |32|"
"QT21 project","","","",1,1,"LRT + Open Submissions Data & Tools |1|"
"Quality and Usability Lab, Institut für Softwaretechnik und Theoretische Informatik, Technische Universität Berlin","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"Queen Margaret University College","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"RWAAI","","","",32,1,"DoBeS archive : Semoq Beri and Batek |32|"
"RWTH Aachen University, Human Technology Centre, Natural Media Lab","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"Radboud University","","","",6,2,"CLARIN Virtual Collection Registry |1| # CollBank |2|"
"Radboud University Nijmegen","","","",412,13,"CLARIN NL : VALID |4| # CollBank |1| # DBD |21|"
"Radboud University, Nijmegen","","","",1,1,"Sign Language : Sign Language Lexica |1|"
"Radboud university Nijmegen","","","",1,1,"CollBank |1|"
"ReN-Team","","","",2,1,"Hamburger Zentrum für Sprachkorpora (HZSK) |2|"
"ReadSpeaker Holding B.V.","","","",7,0,""
"Referenzkorpus Mittelhochdeutsch","","","",108,1,"Referenzkorpus Mittelhochdeutsch (1050–1350) |108|"
"Regensburg University","","","",157,2,"DoBeS archive : Hoocąk |97| # DoBeS archive : Hoocąk |60|"
"Regional Linguistic Data Initiative Centre ReLDI","","","",1,1,"CLARIN.SI data & tools |1|"
"Renet Oy Remote Network Ltd.","","","",1,0,""
"Research Centre Europe","","","",1,1,"Tübingen Language Resources |1|"
"Research Centre for Linguistic Typology","","","",302,1,"DoBeS archive : Tangsa, Tai, Singpho in North East India |302|"
"Research Centre for Linguistic Typology, La Trobe University","","","",483,1,"DoBeS archive : Tangsa, Tai, Singpho in North East India |483|"
"Research GmbH, Heidelberg","","","",1,1,"Tübingen Language Resources |1|"
"Rijksuniversiteit Groningen","","","",2,1,"INT |2|"
"Rijksuniversiteit Leiden","","","",2,1,"MPI corpora : Language and Cognition : southamerica : Tiriyo : Meira |1|"
"Royal Netherlands Academy of Arts and Sciences","","","",1,0,""
"Ruhr-University Bochum, Department of Linguistics","","","",587,2,"DoBeS archive : Gente del Centro - People of the Center |126| # DoBeS archive : Waimaa team |461|"
"Ruhr-Universität Bochum","","","",112,1,"DoBeS archive : Waimaa team |112|"
"Rundfunk","","","",16,1,"AGD |16|"
"Russian State University for the Humanities","","","",1,0,""
"SAVS","","","",35,1,"DoBeS archive : Teop |35|"
"SBI","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"SDA Church at Ienemakel","","","",4,1,"MPI corpora : Language and Cognition : oceania : Vanuatu : Whitesands |4|"
"SDU","","","",1,1,"INT |1|"
"SIL","","","",5,2,"CollBank |1| # DoBeS archive : Bakola |4|"
"SKAT","","","",2,1,"CLARIN-DK-UCPH Repository |2|"
"SOAS","","","",82,1,"DoBeS archive : Bainounk |82|"
"SPEX (Radboud University Nijmegen)","","","",1,1,"CollBank |1|"
"STAR AG","","","",1,0,""
"SWISSAID","","","",7,1,"DoBeS archive : Gente del Centro - People of the Center |7|"
"Saarland University","","","",2,2,"Clarino Bergen Centre - INESS |1| # IMS, CLARIN-D Centre, University of Stuttgart |1|"
"Saarland University, Saarbrücken, Germany","","","",1,1,"IMS, CLARIN-D Centre, University of Stuttgart |1|"
"Sanako","","","",1,0,""
"Sanalogia","","","",1,0,""
"Sanastokeskus TSK","","","",1,0,""
"Sandstone Oy","","","",2,0,""
"School of Arts, Languages and Cultures, University of Manchester","","","",10,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |10|"
"School of Languages, Linguistics and Cultures, University of Manchester","","","",534,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |534|"
"Schule","","","",3,1,"AGD |3|"
"Se suicidó en 2007","","","",1,1,"DoBeS archive : Gente del Centro - People of the Center |1|"
"Seminar für Deutsche Philologie","","","",1,1,"MPI corpora : Acquisition : L2 Acquisition : Miriam Ellert |1|"
"Shubha Kamal Lower Secondary School","","","",1,1,"DoBeS archive : Chintang and Puma Documentation Project |1|"
"Sinebrychoff Art Museum","","","",1,0,""
"Siruela, Madrid","","","",1,1,"CLARINO Bergen Centre |1|"
"Skandinavisches Seminar / Universität Freiburg","","","",1,1,"Donated Corpora : Pan-Saami Language Archive |1|"
"Slovenian Academy of Sciences and Arts","","","",1,1,"CLARIN.SI data & tools |1|"
"Slovenian Ministry of Education, Science and Sport","","","",1,1,"Clarino Bergen Centre - INESS |1|"
"Sonderforschungsbereich 245: Sprechen und Sprachverstehen im sozialen Kontext","","","",3,1,"AGD |3|"
"Sorbisches Institut","","","",255,1,"DoBeS archive : Lower Sorbian |255|"
"Sorbisches Institut (Cottbus)","","","",255,1,"DoBeS archive : Lower Sorbian |255|"
"Sorbisches Institut (Zweigstelle Cottbus)","","","",2,1,"DoBeS archive : Lower Sorbian |2|"
"Soziale Einrichtung","","","",6,1,"AGD |6|"
"Spartacus","","","",1,1,"CLARINO Bergen Centre |1|"
"Sprachwissenschaftliches Institut, Universität Bochum","","","",13,1,"DoBeS archive : Totoli |13|"
"Språkbanken, University of Gotehenburg","","","",1,1,"Språkbanken |1|"
"Språkbanken, University of Gothenburg","","","",78,1,"Språkbanken |78|"
"Språkbanken, the Swedish Language Bank","","","",1,0,""
"Språkrådet","","","",2,1,"CLARINO NB – Språkbanken |2|"
"Standard Norge","","","",1,1,"CLARINO NB – Språkbanken |1|"
"Standards Norway","","","",1,1,"CLARINO NB – Språkbanken |1|"
"Statens Byggeforskningsinstitut","","","",2,1,"CLARIN-DK-UCPH Repository |2|"
"Stirling University","","","",1,1,"DoBeS archive : Chipaya project |1|"
"Stockholm University","","","",4,2,"MPI corpora : Demo |1| # Sign Language : ECHO - Sign Language |3|"
"Strindbergsprojektet","","","",1,1,"Språkbanken |1|"
"Sunda Systems Oy","","","",1,0,""
"Sundhedsstyrelsen","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Syslore","","","",1,0,""
"Széchényi-Nationalbibliothek","","","",1,1,"Deutsches Textarchiv (1600–1900) |1|"
"Sächsische Landesbibliothek – Staats- und Universitätsbibliothek Dresden","","","",1,1,"Dingler Online |1|"
"Søfartsstyrelsen","","","",2,1,"CLARIN-DK-UCPH Repository |2|"
"Sør-Trøndelag University College","","","",1,1,"CLARINO NB – Språkbanken |1|"
"T.U.","","","",96,1,"DoBeS archive : Chintang and Puma Documentation Project |96|"
"T.U>","","","",1,1,"DoBeS archive : Chintang and Puma Documentation Project |1|"
"TDC","","","",3,1,"CLARIN-DK-UCPH Repository |3|"
"TST-Centrale/INL","","","",1,1,"CollBank |1|"
"Talen en Culturen, Blandijnberg 2, 9000 Gent","","","",1,1,"DoBeS archive : Nsambaan, Nsong and Ngong |1|"
"TalkingHome","","","",1,1,"INT |1|"
"Tallinn University of Technology","","","",14,1,"Center of Estonian Language Resources |14|"
"Taraz State University","","","",12,0,""
"Tartu Ülikool","","","",56,1,"Center of Estonian Language Resources |56|"
"Technische Universiteit Eindhoven","","","",1,1,"INT |1|"
"Technische Universität Darmstadt","","","",6,1,"LRT + Open Submissions Data & Tools |6|"
"Teknologisk Institut, Murværk og Byggekomponenter","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"TeleAtlas","","","",2,1,"INT |2|"
"Telenor","","","",1,1,"CLARINO NB – Språkbanken |1|"
"Text-Technology Lab, Goethe University Frankfurt","","","",1,1,"TextImager |1|"
"Texttechnology Lab, Goethe University Frankfurt","","","",1,1,"TextImager |1|"
"The Bank of Finnish Terminology in Arts and Sciences","","","",1,0,""
"The Centre for Interpreting Services for the Disabled","","","",1,0,""
"The Chinese University of Hong Kong","","","",9,1,"Sign Language : Sign Language Typology |9|"
"The Church Council of the Evangelical Lutheran Church of Finland","","","",3,0,""
"The Danish Parliament","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"The Danish eHealth Portal, Copenhagen, Denmark","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"The Divvun group at UiT","","","",9,1,"CLARINO Bergen Centre |9|"
"The Dutch Language Union","","","",1,1,"CollBank |1|"
"The Dutch Language Union (Nederlandse Taalunie)","","","",2,0,""
"The Finnish Association of the Deaf","","","",1,0,""
"The Finnish Literature Society","","","",2,0,""
"The Finnish Social Insurance Institution","","","",1,0,""
"The Grundtvig Centre","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"The Institute for the Languages of Finland","","","",3,0,""
"The Mari Web Project","","","",1,0,""
"The Matriculation Examination Board","","","",2,0,""
"The National Herbarium of Papua New Guinea in Lae","","","",2,1,"DoBeS archive : Morehead |2|"
"The National Library of Sweden","","","",10,1,"Språkbanken |10|"
"The Norwegian Association of Higher Education Institutions","","","",2,1,"CLARINO Bergen Centre |2|"
"The Norwegian Centre for Writing Education and Research","","","",1,1,"Clarino - Textlab |1|"
"The PROIEL Treebank","","","",1,1,"CLARINO Bergen Centre |1|"
"The Parliament of Finland","","","",3,0,""
"The Peter Skautrup Centre, Aarhus University","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"The Research Group in Clinical Linguistics and Language Acquisition","","","",1,1,"Clarino - Textlab |1|"
"The Text Laboratory","","","",18,1,"Clarino - Textlab |18|"
"The Verbal Art Foundation","","","",4,0,""
"The arctic university of Norway","","","",13,1,"CLARINO Bergen Centre |13|"
"The language council of Norway","","","",2,1,"CLARINO NB – Språkbanken |2|"
"The researchers of the Jipemoyo project","","","",1,0,""
"The verbal Art Foundation, Utrecht, The Netherlands","","","",37,1,"Donated Corpora : Vodun_Stories |37|"
"Theater","","","",1,1,"AGD |1|"
"Tiden - Oktober","","","",1,1,"CLARINO Bergen Centre |1|"
"Tierpark","","","",4,1,"AGD |4|"
"Tilburg University","","","",185,3,"CollBank |1| # DBD |180| # INT |4|"
"Tilburg University (ILK)","","","",1,1,"CollBank |1|"
"Tilburg University, University of Nijmegen","","","",2,1,"DBD |2|"
"Tilde Eesti OÜ","","","",1,1,"Center of Estonian Language Resources |1|"
"Timehouse","","","",2,0,""
"Tribhuvan University","","","",171,1,"DoBeS archive : Chintang and Puma Documentation Project |171|"
"Trojina, Institute for Applied Slovene Studies","","","",3,1,"CLARIN.SI data & tools |3|"
"Twente University","","","",1,1,"CollBank |1|"
"Tübinger Arbeitsstelle Sprache in Südwestdeutschland","","","",4,2,"AGD |2| # Institut für Deutsche Sprache, CLARIN-D Zentrum, Mannheim |2|"
"UBA","","","",15,1,"DoBeS archive : Chaco languages |15|"
"UCSD","","","",19,3,"MPI corpora : Language and Cognition : australia : Cape York Peninsula : Guugu Yimithirr : Hopevale |2| # MPI corpora : Language and Cognition : australia : Guugu Yimithirr : Hopevale |11| # MPI corpora : Language and Cognition : mesoamerica : Tzeltal : John Haviland |4|"
"UFAL, Charles University in Prague","","","",52,1,"LINDAT / CLARIN Data & Tools |52|"
"UKP Lab, Technische Universität Darmstadt","","","",8,8,"DKPro C4CorpusTools |1| # DKPro Core |1| # DKPro Lab |1|"
"UMR 5596 – CNRS & Université Lumière Lyon 2 Laboratoire Dynamique du Langage","","","",3,1,"DoBeS archive : Even |3|"
"UMR 7535, Centre National de la Recherche Scientifique","","","",14,1,"DoBeS archive : Trumai |14|"
"UNI Research","","","",4,1,"CLARINO NB – Språkbanken |4|"
"UiL-OTS, University of Utrecht","","","",1,1,"CollBank |1|"
"Ulm University","","","",1,1,"IMS, CLARIN-D Centre, University of Stuttgart |1|"
"Ulrik Brinck","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Uni Research AS","","","",11,5,"CLARINO Bergen Centre |1| # CLARINO UiB - Corpuscle |4| # Clarino - Textlab |1|"
"Unicamp, Campinas, Brazil","","","",73,1,"DoBeS archive : Aché |73|"
"Uniersite Paris 7","","","",135,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |135|"
"Universal Dependencies Consortium","","","",10,1,"LINDAT / CLARIN Data & Tools |10|"
"Universidad Nacional de Colombia","","","",84,1,"DoBeS archive : Gente del Centro - People of the Center |84|"
"Universidad Nacional de Colombia - Sede Amazonia","","","",72,1,"DoBeS archive : Gente del Centro - People of the Center |72|"
"Universidad de Buenos Aires","","","",20,1,"DoBeS archive : Chaco languages |20|"
"Universidad de Buenos Aires, Facultad de Filosofía y Letras","","","",29,1,"DoBeS archive : Chaco languages |29|"
"Universidade Federal de Alagoas","","","",24,1,"Donated Corpora : Yaathe |24|"
"Universidade Federal do Rio de Janeiro","","","",34,1,"DoBeS archive : Kuikuro Team |34|"
"Universitaet Kiel","","","",152,1,"DoBeS archive : Teop |152|"
"Universitaet zu Koeln","","","",3,1,"DoBeS archive : CELD Papua |3|"
"Universitaets-Archiv Heidelberg","","","",4,1,"Donated Corpora : Akha Language - Heidelberg University Archive |4|"
"Universitas Cenderawasi, Abepura, Papua","","","",6,1,"DoBeS archive : CELD Papua |6|"
"Universiteit Leiden","","","",1,0,""
"Universiteit van Amsterdam","","","",166,2,"DoBeS archive : Sri Lanka Malay |164| # INT |1|"
"Universiteit van Utrecht","","","",1,1,"INT |1|"
"Universitetet i Agder","","","",1,1,"CLARINO UiB - Corpuscle |1|"
"Universitetet i Bergen","","","",162,5,"CLARINO Bergen Centre |4| # CLARINO NB – Språkbanken |1| # CLARINO UiB - Corpuscle |9|"
"Universitetet i Tromsø","","","",12,1,"DoBeS archive : Kola Saami Documentation Project |12|"
"Universitetet i Trondheim","","","",1,1,"CLARINO NB – Språkbanken |1|"
"Universitets- og høgskolerådet","","","",2,1,"CLARINO Bergen Centre |2|"
"University College London","","","",8,1,"COST elicitationdata |8|"
"University College of London","","","",2,1,"COST elicitationdata |2|"
"University Halle-Wittenberg","","","",25,1,"DoBeS archive : Cashinahua project |25|"
"University of Agder","","","",1,1,"CLARINO UiB - Corpuscle |1|"
"University of Alberta","","","",1,0,""
"University of Amsterdam","","","",446,5,"DoBeS archive : Sri Lanka Malay |2| # Donated Corpora : Archive of the Lokono Language (ALL) |4| # INT |4|"
"University of Amsterdam (VU)","","","",2,1,"INT |2|"
"University of Amsterdam, ACLC","","","",14,1,"Donated Corpora : Archive of the Lokono Language (ALL) |14|"
"University of Antwerp","","","",6,2,"CollBank |1| # INT |5|"
"University of Antwerp (CNTS)","","","",1,1,"Tübingen Language Resources |1|"
"University of Bamberg","","","",26,1,"DoBeS archive : Shiri and Sanzhi |26|"
"University of Bergen","","","",177,5,"CLARINO Bergen Centre |11| # CLARINO NB – Språkbanken |1| # CLARINO UiB - Corpuscle |9|"
"University of Bielefeld","","","",103,1,"DoBeS archive : Savosavo and Gela |103|"
"University of Birmingham","","","",1,1,"IMS, CLARIN-D Centre, University of Stuttgart |1|"
"University of Bristol","","","",3,2,"MPI corpora : Demo |1| # MPI corpora : Language and Cognition : africa : Ewe : Essegbey |1|"
"University of Buea","","","",49,2,"DoBeS archive : Bezen |2| # DoBeS archive : Isubu and Wovia |47|"
"University of California, Berkeley","","","",58,1,"DoBeS archive : Laal |58|"
"University of California, Communication Dpt","","","",36,2,"MPI corpora : Language and Cognition : Sign Language : Ozyurek |21| # Sign Language : VIDI Sign space project |15|"
"University of California, Los Angeles","","","",80,1,"DoBeS archive : Aché |80|"
"University of California, San Diego","","","",17,3,"MPI corpora : Language and Cognition : australia : Cape York Peninsula : Guugu Yimithirr : Hopevale |2| # MPI corpora : Language and Cognition : australia : Guugu Yimithirr : Hopevale |11| # MPI corpora : Language and Cognition : mesoamerica : Tzeltal : John Haviland |4|"
"University of Cologne","","","",1079,2,"DoBeS archive : Beaver Archive |998| # DoBeS archive : Délı̨nę |25|"
"University of Cologne, Department of Linguistics - Universidad de Colonia, Departamento de Lingüística","","","",420,1,"DoBeS archive : Movima |420|"
"University of Colorado","","","",7,2,"DoBeS archive : Referentiality_Project |1| # DoBeS archive : Wichita |6|"
"University of Colorado; Volkswagen Foundation","","","",1,1,"DoBeS archive : Wichita |1|"
"University of Connecticut","","","",1,1,"Sign Language : Sign Language Lexica |1|"
"University of Delaware","","","",101,1,"MPI EVA corpora : Jakarta Field Station |99|"
"University of Eastern Finland","","","",11,0,""
"University of Edinburgh","","","",1,0,""
"University of Erfurt","","","",1,1,"CollBank |1|"
"University of Florida","","","",15,1,"Donated Corpora : Nyangbo |15|"
"University of Ghent","","","",4,1,"INT |4|"
"University of Ghent (UGent)","","","",2,1,"INT |2|"
"University of Graz","","","",12,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |12|"
"University of Groningen","","","",4,2,"CollBank |2| # INT |2|"
"University of Hamburg","","","",207,6,"COST elicitationdata |1| # DoBeS archive : Bezen |87| # DoBeS archive : Chontal |62|"
"University of Helsinki","","","",203,2,"Clarino Bergen Centre - INESS |1| # LRT + Open Submissions Data & Tools |1|"
"University of Iceland","","","",7,2,"COST elicitationdata |6| # Clarino Bergen Centre - INESS |1|"
"University of Jyväskylä","","","",25,0,""
"University of Kiel","","","",517,3,"DoBeS archive : Gorani |111| # DoBeS archive : Marquesan team |197| # DoBeS archive : Teop |209|"
"University of Konstanz","","","",3,1,"DoBeS archive : Kola Saami Documentation Project |3|"
"University of Leiden","","","",1,1,"Donated Corpora : Slips of the tongue data |1|"
"University of Leipzig","","","",926,4,"DoBeS archive : Baure |85| # DoBeS archive : Chintang and Puma Documentation Project |593| # DoBeS archive : Kola Saami Documentation Project |1|"
"University of Leuven","","","",6,1,"INT |6|"
"University of Leuven (KULeuven)","","","",1,1,"INT |1|"
"University of Limerick, Ireland","","","",7,1,"DoBeS archive : Chintang and Puma Documentation Project |7|"
"University of Manchester","","","",223,2,"DoBeS archive : Jaminjungan and Eastern Ngumpin |8| # DoBeS archive : Savosavo and Gela |215|"
"University of Manchester, School of Arts, Languages and Cultures","","","",14,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |14|"
"University of Maryland","","","",139,1,"MPI EVA corpora : Jakarta Field Station |139|"
"University of Melbourne","","","",373,2,"DoBeS archive : Iwaidja team |362| # DoBeS archive : Jaminjungan and Eastern Ngumpin |11|"
"University of Michigan, Ann Arbor","","","",105,1,"DoBeS archive : Aché |105|"
"University of Milan-Bicocca, Italy","","","",1,1,"COST elicitationdata |1|"
"University of Münster","","","",7,1,"DoBeS archive : Ikaan |7|"
"University of New England","","","",1,1,"DoBeS archive : Morehead |1|"
"University of Newcastle","","","",63,1,"DoBeS archive : Vurës and Vera'a |63|"
"University of Nijmegen","","","",11,3,"ECHO |1| # INT |1| # Sign Language : ECHO - Sign Language |9|"
"University of Oslo","","","",49,5,"CLARINO Bergen Centre |1| # CLARINO NB – Språkbanken |2| # Clarino - Textlab |18|"
"University of Oulu","","","",3,0,""
"University of Potsdam","","","",16,6,"Clarino Bergen Centre - INESS |1| # DoBeS archive : Kola Saami Documentation Project |1| # Donated Corpora : Permic Varieties |9|"
"University of Sheffield","","","",5,1,"LRT + Open Submissions Data & Tools |5|"
"University of Stuttgart","","","",32,1,"IMS, CLARIN-D Centre, University of Stuttgart |32|"
"University of Stuttgart, Germany","","","",1,1,"IMS, CLARIN-D Centre, University of Stuttgart |1|"
"University of Surrey","","","",2,1,"Donated Corpora : Slavonic Colour Lexicon |2|"
"University of Sydney","","","",30,1,"DoBeS archive : Iwaidja team |30|"
"University of Tampere","","","",18,0,""
"University of Tartu","","","",90,2,"Center of Estonian Language Resources |54| # DoBeS archive : Enets and Forest Nenets |36|"
"University of Texas, Austin, U.S.A.","","","",1,1,"IMS, CLARIN-D Centre, University of Stuttgart |1|"
"University of Tilburg","","","",3,1,"INT |3|"
"University of Trondheim","","","",1,1,"CLARINO NB – Språkbanken |1|"
"University of Turku","","","",7,0,""
"University of Twente","","","",2,1,"INT |2|"
"University of Tübingen","","","",9,3,"Ludwig-Uhland-Institut für Empirische Kulturwissenschaft |1| # Tübingen Language Resources |7| # Word and tag embeddings for German (syntactic) |1|"
"University of Utah, Department of Linguistics","","","",1,1,"DoBeS archive : Khinalug |1|"
"University of Utrecht","","","",7,1,"INT |7|"
"University of Versailles","","","",9,1,"DoBeS archive : Even |9|"
"University of Versailles (France)","","","",1,1,"DoBeS archive : Even |1|"
"University of Victoria","","","",188,1,"DoBeS archive : Lacandon Cultural Heritage |188|"
"University of Vienna","","","",6,1,"Dictionary Gate |5|"
"University of Washington","","","",20,1,"DoBeS archive : Beaver Archive |20|"
"University of West Bohemia","","","",3,1,"LINDAT / CLARIN Data & Tools |3|"
"University of West Bohemia in Pilsen, KIV","","","",1,1,"LINDAT / CLARIN Data & Tools |1|"
"University of West Bohemia, Department of Computer Science and Engineering","","","",1,1,"LRT + Open Submissions Data & Tools |1|"
"University of West Bohemia, Dept. of Cybernetics","","","",1,1,"LINDAT / CLARIN Data & Tools |1|"
"University of Wolverhampton","","","",1,1,"Tübingen Language Resources |1|"
"University of Würzburg","","","",1,0,""
"University of Zurich","","","",1,0,""
"University of the Basque Country, UPV/EHU","","","",2,1,"LINDAT / CLARIN Data & Tools |2|"
"Università Cattolica del Sacro Cuore, Milan (Italy)","","","",1,1,"Tübingen Curated Resource |1|"
"Università Degli Studi di Napoli Federico II","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"Università degli Studi di Napoli ""L'Orientale""","","","",140,1,"MPI EVA corpora : Jakarta Field Station |137|"
"Università di Parma","","","",2,1,"ILC4CLARIN : OPEN Data & Tools |2|"
"Universität","","","",9,2,"AGD |8| # Archiv für Gesprochenes Deutsch |1|"
"Universität Basel","","","",1,1,"DoBeS archive : Kola Saami Documentation Project |1|"
"Universität Bochum, Seminar für Slawistik","","","",4,1,"AGD |4|"
"Universität Frankfurt a. M.","","","",37,1,"DoBeS archive : Akie |37|"
"Universität Frankfurt a.M.","","","",34,1,"DoBeS archive : Akie |34|"
"Universität Freiburg","","","",8,2,"DoBeS archive : Kola Saami Documentation Project |1| # Donated Corpora : Permic Varieties |7|"
